var;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5
1;4,706585704;0,173680407;1,437740171;2,335642614;0,018314722
2;4,363391667;1,744930732;1,582769617;0,178271953;0,004497511
3;4,621098788;1,034379892;0,121781033;0,307275644;11,9957808
4;0,370449524;1,156035318;1,663730495;0,984112645;5,865490105
5;0,470321407;0,030121759;0,299344163;4,28595287;0,957520362
6;0,011353327;0,178585558;0,666572713;1,813445329;0,094799065
7;0,001211607;2,65E-05;0,705935898;0,029561591;0,583225802
8;0,003692056;0,914541402;1,571836991;1,924327407;3,622971637
9;0,00013184;1,240788335;0,335390917;0,435359073;6,557576226
10;0,234133718;0,017309556;0,445178649;1,340077017;0,185501034
11;6,747681315;0,254569102;0,059718058;4,439901593;0,107804232
12;4,218307814;0,012443951;0,29409485;0,402667475;2,843440554
13;3,557858492;0,384226772;1,719903813;2,515504964;0,013069477
14;0,986372755;0,060734902;0,660017852;1,123706226;0,585945928
15;0,950887175;0,090652438;7,906823056;0,085965424;0,351856892
16;0,233943201;0,077998792;0,3206934;4,661777069;1,74986401
17;0,005479181;3,805517991;1,790543041;0,070345628;1,359879828
18;0,381723921;1,150757299;0,230884985;0,627468563;8,803545764
19;0,021488161;0,1110796;1,697989554;1,884103587;0,143654034
20;0,383052489;0,196419376;0,025833319;0,377352279;1,693147907
21;1,98385236;0,127709816;0,261601723;0,389886312;1,16198934
22;0,844867447;2,000489069;0,428657837;0,320601282;1,936941149
23;0,000319772;1,176660523;0,077697193;0,32651886;3,083457629
24;0,510323003;1,381227563;0,002764031;0,860218607;0,014250595
25;0,198098965;0,111284832;0,059182462;0,007865611;0,089517819
26;0,168558259;0,76824243;2,864490017;4,089646011;0,503805107
27;0,449073692;0,216088602;2,435978093;0,403635694;0,63254985
28;0,718317279;0,456478711;5,81207189;6,197599131;0,676292689
29;0,831836277;0,961385147;6,220811183;5,575666663;0,018692318
30;0,017581982;0,94302147;0,02463739;3,223862659;0,020179707
31;9,667589455;0,674594353;2,937521832;1,666470444;3,097121496
32;0,244397043;0,593048116;0,00443266;1,108067555;0,722957214
33;0,01461319;0,006547524;0,367043469;0,448994977;0,006951506
34;0,698187403;2,816911615;1,043984698;0,394618687;3,440894916
35;0,685425776;0,587424361;1,766504532;11,9327395;3,017596019
36;2,904856851;0,199628115;1,484628988;2,617812268;0,796774212
37;5,85741519;0,228542259;0,908707095;0,027082187;0,075385556
38;8,156960461;0,091380083;0,486773047;3,994211342;1,101888075
39;8,698478652;2,105496326;3,664373146;0,788193725;2,088319007
40;13,91526933;0,272906499;5,315257804;4,158559066;0,571129199
41;0,286617731;1,048250396;0,596037385;0,008322829;8,299862053
42;2,48210247;5,163644002;1,579501129;2,766518878;0,021370321
43;0,138289795;11,60418849;0,131341781;4,935288409;1,661423419
44;0,545511031;0,402695649;1,665346981;0,877192647;0,100042822
45;0,551088996;0,662411664;0,879023077;0,176625516;0,049632406
46;0,256478118;1,009630707;0,000260538;0,656621105;4,581040454
47;1,755185286;5,2021711;3,951640256;2,979690228;2,769707937
48;0,7205283;1,034999061;0,680937492;0,002257047;5,904604326
49;0,036059625;0,880710819;27,40970704;2,405584994;1,230640605
50;0,020906073;1,152529948;0,419545138;0,188390625;1,488768711
51;1,005771097;5,781073742;0,507735165;0,037861881;6,30E-05
52;2,7404503;17,95030544;0,337926521;4,885199483;0,087162424
53;0,026548849;8,997105369;0,199878806;0,136529581;1,588766171
54;0,594092862;5,935524947;0,128512624;1,172064266;1,122634512
55;0,005182938;4,820891602;1,808704396;0,416782976;0,499701523
